report_0,count
Sinus bradycardia with PVC(s) with borderline 1st degree A-V block.,1
Sinus bradycardia with sinus arrhythmia with PVCs with 1st degree A-V block.,1
"Poor quality data, interpretation may be affected",1
Sinus rhythm with PVC(s) with PAC(s) with borderline 1st degree A-V block,1
Sinus rhythm with PVCs with PACs with borderline 1st degree A-V block,1
PROBABLE SINUS TACHYCARDIA.CONSIDER FLUTTER AND/OR 2:1 A-V BLOCK,1
Possible ectopic atrial rhythm with multifocal PVCs with PAC(s).,1
Possible atrial flutter with rapid ventricular response with frequent PVCs or aberrant ventricular conduction,1
Probable atrial fibrillation with rapid ventricular response with multifocal PVCs or aberrant ventricular conduction.,1
-------------------- Pediatric ECG interpretation --------------------,1
Sinus rhythm with frequent multifocal PVCs with PAC(s) with borderline 1st degree A-V block,1
Sinus rhythm with interpolated PVC(s) with 1st degree A-V block.,1
Possible junctional rhythm with PVC(s),1
Sinus rhythm with aberrantly conducted supraventricular complexes with 1st degree A-V block.,1
Possible atrial flutter with rapid ventricular response with non-sustained ventricular tachycardia.,1
Sinus bradycardia with sinus arrhythmia with PAC(s) with 1st degree A-V block,1
Atrial flutter with bigeminal PVCs or aberrant ventricular conduction.,1
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVC(s) with PAC(s),1
Sinus rhythm with bigeminal PVCs with 1st degree A-V block,1
Sinus arrhythmia with multifocal interpolated PVCs.,1
Atrial fibrillation with frequent multifocal PVCs.,1
Atrial fibrillation with rapid ventricular response with paroxysmal idioventricular rhythm.,1
Sinus bradycardia with interpolated PVCs with 1st degree A-V block.,1
Atrial fibrillation with rapid ventricular response with fusion complexes,1
Sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes,1
Sinus tachycardia with PVC(s) with borderline 1st degree A-V block.,1
Possible atrial flutter with uncontrolled ventricular response with multifocal PVCs.,1
Sinus arrhythmia with PVCs with 1st degree A-V block,1
Possible ectopic atrial rhythm with multifocal PVCs,1
Sinus tachycardia with sinus arrhythmia with PAC(s),1
Atrial fibrillation with rapid ventricular response with intermittent conduction defect.,1
Sinus arrhythmia with aberrantly conducted supraventricular complexes with 1st degree A-V block.,1
Sinus arrhythmia with PVCs with borderline 1st degree A-V block,1
Possible ectopic atrial tachycardia with PVC(s),1
Irregular ectopic atrial bradycardia with PVC(s).,1
Atrial flutter with rapid ventricular response with 4:1 A-V block.,1
Possible ectopic atrial rhythm with multifocal PVCs.,1
IRREGULAR ECTOPIC ATRIAL RHYTHM,1
Atrial flutter with multifocal PVCs or aberrant ventricular conduction,1
Possible ectopic atrial bradycardia with multifocal PVCs.,1
Sinus tachycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block,1
Sinus rhythm with frequent multifocal PVCs with PACs,1
Possible ectopic atrial rhythm with paroxysmal idioventricular rhythm.,1
"Extreme tachycardia with wide complex, no further rhythm analysis attempted",1
Possible ectopic atrial rhythm with PVCs,1
Possible ectopic atrial rhythm with aberrantly conducted supraventricular complexes.,1
Possible atrial arrhythmia,1
Sinus bradycardia with sinus arrhythmia with PACs with 1st degree A-V block.,1
Sinus arrhythmia with frequent multifocal PVCs.,1
Sinus tachycardia with frequent multifocal PVCs with borderline 1st degree A-V block.,1
Sinus rhythm with non-sustained ventricular tachycardia with 1st degree A-V block,1
Probable atrial fibrillation with complete A-V block,1
Sinus arrhythmia with interpolated PVCs,1
Sinus arrhythmia with frequent multifocal PVCs with 1st degree A-V block,1
Possible ectopic atrial rhythm with varying 2nd degree A-V block,1
Possible atrial flutter with paroxysmal idioventricular rhythm or aberrant ventricular conduction.,1
Possible ectopic atrial bradycardia with interpolated PVCs.,1
Atrial fibrillation with uncontrolled ventricular response with frequent PVCs or aberrant ventricular conduction.,1
Sinus rhythm with multifocal PVCs with PACs,1
Sinus rhythm with multifocal interpolated PVCs.,1
Sinus rhythm with multifocal PVCs with borderline 1st degree A-V block,1
Sinus rhythm with bigeminal PVCs with borderline 1st degree A-V block,1
Probable atrial fibrillation with fusion complexes,1
Sinus arrhythmia with multifocal PVCs with 1st degree A-V block,1
Atrial flutter with PVC(s) or aberrant ventricular conduction,1
Probable atrial fibrillation with PVCs or aberrant ventricular conduction.,1
Sinus arrhythmia with PVCs with 1st degree A-V block.,1
Sinus rhythm with frequent multifocal PVCs with borderline 1st degree A-V block.,1
Sinus rhythm with bigeminal PACs with borderline 1st degree A-V block,1
Probable atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia.,1
Possible ectopic atrial tachycardia with multifocal PVCs.,1
Probable accelerated junctional rhythm with PVC(s).,1
Sinus rhythm with 2nd degree (Mobitz II) SA block with 1st degree A-V block.,1
Sinus tachycardia with frequent PVCs with PACs,1
Irregular ectopic atrial rhythm with PVC(s).,1
Probable atrial fibrillation with slow ventricular response with PVCs or aberrant ventricular conduction.,1
Sinus bradycardia with interpolated PVC(s) with 1st degree A-V block.,1
Probable atrial fibrillation with rapid ventricular response with frequent PVCs.,1
Probable accelerated junctional rhythm with frequent PVCs.,1
Sinus rhythm with frequent multifocal PVCs with PAC(s),1
Possible ectopic atrial bradycardia with PACs.,1
ATRIAL FIBRILLATION WITH UNCONTROLLED VENTRICULAR RESPONSE,1
Sinus rhythm with frequent multifocal PVCs with PACs with borderline 1st degree A-V block.,1
Possible ectopic atrial rhythm with PVCs with PACs,1
"Right and left arm electrode reversal, interpretation assumes no reversal",1
Possible atrial flutter with interpolated PVCs.,1
Sinus rhythm with frequent PACs with borderline 1st degree A-V block.,1
IRREGULAR SINUS TACHYCARDIA,1
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVCs with PACs.,1
"Second degree AV block, Mobitz II",1
Possible atrial flutter with PVCs or aberrant ventricular conduction,1
"Ectopic atrial tachycardia, unifocal",1
Probable atrial fibrillation with rapid ventricular response with multifocal PVCs.,1
Sinus arrhythmia with frequent multifocal PVCs with 1st degree A-V block.,1
Sinus tachycardia with occasional PACs.,1
Repeat ecg advised,1
Probable atrial fibrillation with rapid ventricular response with PVCs,1
Atrial fibrillation with slow ventricular response with frequent PVCs.,1
Wide-QRS tachycardia,1
Sinus rhythm with frequent PVCs with PACs,1
Possible ectopic atrial rhythm with frequent PVCs,1
Probable atrial fibrillation with rapid ventricular response with frequent multifocal PVCs or aberrant ventricular conduction,1
Sinus rhythm with aberrantly conducted supraventricular complexes with PVCs with PACs,1
Sinus rhythm with 2:1 A-V block.,1
Possible ectopic atrial rhythm with frequent multifocal PVCs with PACs,1
Sinus tachycardia with fusion complexes,1
Sinus arrhythmia with multifocal PVCs with borderline 1st degree A-V block.,1
Sinus tachycardia with frequent multifocal PVCs with PACs.,1
Probable atrial fibrillation with multifocal PVCs,1
Atrial flutter with uncontrolled ventricular response,1
Atrial fibrillation with slow ventricular response with frequent multifocal PVCs or aberrant ventricular conduction,1
AV sequential pacing.,1
Sinus arrhythmia with frequent multifocal PVCs,1
Sinus tachycardia with sinus arrhythmia with PACs with 1st degree A-V block,1
Probable atrial fibrillation with fusion complexes or aberrant ventricular conduction,1
Possible atrial flutter with frequent multifocal PVCs or aberrant ventricular conduction,1
Sinus tachycardia with PACs with borderline 1st degree A-V block,1
Sinus tachycardia with intermittent conduction defect.,1
Sinus rhythm with multifocal PVCs with PACs.,1
Atrial fibrillation with rapid ventricular response with frequent PVCs,1
Sinus bradycardia with interpolated PVCs.,1
Sinus rhythm with aberrantly conducted supraventricular complexes with interpolated PVC(s).,1
Probable atrial fibrillation with PVCs,1
Sinus rhythm with occasional PACs,1
Sinus rhythm with aberrantly conducted supraventricular complexes with frequent multifocal PVCs,1
Possible atrial flutter with slow ventricular response with PVC(s) or aberrant ventricular conduction.,1
Sinus tachycardia with frequent PVCs with PAC(s),1
Sinus tachycardia with frequent PVCs with PACs.,1
Sinus bradycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with 1st degree A-V block.,1
Sinus bradycardia with PVC(s) with PAC(s) with borderline 1st degree A-V block,1
Atrial flutter with slow ventricular response with 4:1 A-V block,1
Possible ectopic atrial rhythm with multifocal interpolated PVCs.,1
Possible ectopic atrial rhythm with PVC(s) with PAC(s),1
Irregular ectopic atrial tachycardia,1
Probable atrial fibrillation with slow ventricular response with PVCs.,1
Atrial flutter with rapid ventricular response with PVCs,1
Sinus bradycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block,1
Sinus rhythm with PVCs with PACs with 1st degree A-V block,1
Sinus arrhythmia with interpolated PVC(s),1
Sinus bradycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block with 1st degree A-V block,1
Sinus tachycardia with aberrantly conducted supraventricular complexes with multifocal PVCs.,1
Sinus rhythm with interpolated PVCs with PACs with borderline 1st degree A-V block.,1
Irregular ectopic atrial tachycardia with PAC(s).,1
Regular A-V sequential pacing,1
Atrial fibrillation with uncontrolled ventricular response with fusion complexes,1
Possible junctional rhythm with PVCs.,1
Atrial flutter with slow ventricular response with high degree A-V block,1
Sinus bradycardia with sinus arrhythmia with multifocal PVCs,1
Possible atrial flutter with rapid ventricular response with interpolated PVCs,1
POSSIBLE IDIOVENTRICULAR RHYTHM WITH SLOW VENTRICULAR RESPONSE,1
Sinus bradycardia with multifocal PVCs.,1
Sinus rhythm with 2:1 A-V block,1
Sinus bradycardia with occasional PACs.,1
Atrial flutter with predominant 3:1 AV block,1
Warning: DATA QUALITY MAY AFFECT COMPUTER INTERPRETATION!!,1
Atrial flutter with slow ventricular response with PVC(s) or aberrant ventricular conduction,1
Sinus tachycardia with sinus arrhythmia with multifocal PVCs,1
Irregular ectopic atrial tachycardia with PACs,1
Irregular ectopic atrial rhythm with PVC(s),1
"Sinus bradycardia with sinus arrhythmia with 2nd degree A-V block, Mobitz II.",1
Sinus rhythm with aberrantly conducted supraventricular complexes with interpolated PVCs with PACs.,1
Supraventricular tachycardia,1
Sinus tachycardia with aberrantly conducted supraventricular complexes with PVC(s) with PAC(s).,1
Possible ectopic atrial rhythm with interpolated PVC(s),1
Atrial fibrillation with slow ventricular response with paroxysmal idioventricular rhythm or aberrant ventricular conduction.,1
Sinus rhythm with aberrantly conducted supraventricular complexes with 1st degree A-V block,1
Sinus bradycardia with interpolated PVCs,1
Probable sinus tachycardia with non-sustained ventricular tachycardia.,1
Sinus rhythm with frequent multifocal PVCs with PAC(s).,1
Sinus bradycardia with intermittent conduction defect,1
Sinus rhythm with non-sustained ventricular tachycardia.,1
Sinus bradycardia with PACs with 1st degree A-V block,1
Probable atrial fibrillation with rapid ventricular response with multifocal PVCs or aberrant ventricular conduction,1
Atrial fibrillation with rapid ventricular response with frequent multifocal PVCs.,1
Sinus arrhythmia with frequent PVCs,1
Possible ectopic atrial tachycardia with PVC(s).,1
Sinus rhythm with aberrantly conducted supraventricular complexes with PACs,1
Probable atrial fibrillation with uncontrolled ventricular response with PVC(s).,1
Sinus bradycardia with interpolated PVC(s) with borderline 1st degree A-V block.,1
Sinus bradycardia with sinus arrhythmia with 2nd degree (Mobitz II) SA block with 1st degree A-V block.,1
Sinus tachycardia with sinus arrhythmia with PACs.,1
Atrial flutter with rapid ventricular response with PVC(s).,1
Possible atrial flutter with frequent PVCs or aberrant ventricular conduction.,1
Atrial flutter with PVC(s).,1
Possible atrial flutter with interpolated PVC(s) or aberrant ventricular conduction.,1
Sinus tachycardia with multifocal PVCs with PAC(s),1
Predominant 2:1 AV block,1
Atrial fibrillation with uncontrolled ventricular response with PVC(s) or aberrant ventricular conduction,1
Possible ectopic atrial rhythm with bigeminal PVCs.,1
Sinus tachycardia with sinus arrhythmia with PAC(s) with borderline 1st degree A-V block,1
